Key,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,T
231,3.11,2.68,2.56,2.77,3,2,2,3,2,4,3,3,3,3,2,2,3,2,2.97
232,3,2.63,2.56,2.73,3,3,2,2,2,3,2,3,3,3,2,2,2,3,2.98
233,3,2.89,2.94,2.82,3,2,3,2,2,3,4,3,3,3,2,3,2,3,2.98
234,2.58,2.32,2.85,2.74,2,2,1,2,2,3,2,4,4,4,2,2,2,4,2.98
235,2.94,3,2.75,2.64,2,2,3,2,3,4,3,2,3,2,2,2,2,3,2.98
236,2.74,2.74,3.05,2.68,2,4,2,3,1,3,3,2,2,3,2,2,2,4,2.98
237,3.33,2.68,2.68,2.63,4,4,2,3,2,3,3,2,2,3,2,2,2,3,2.99
238,3.05,3.05,3.37,2.35,2,2,3,3,3,3,3,4,2,3,3,3,2,4,2.99
239,2.83,2.84,2.68,2.74,2,2,2,2,3,3,4,3,2,3,3,2,3,2,2.99
240,3.11,3.16,3.17,2.46,4,2,3,3,3,4,4,4,3,2,2,3,1,4,2.99
241,3,3.21,3.4,2.47,3,3,3,3,3,3,3,3,2,4,2,3,2,4,2.99
242,2.95,2.32,2.15,2.21,3,2,2,2,3,2,2,3,2,2,4,2,2,1,3
243,2.89,2.68,2.74,2.89,2,2,2,3,2,3,2,3,4,3,2,3,2,3,3
244,2.83,2.63,3,2.59,2,2,2,2,4,4,2,2,2,2,2,2,3,2,3
245,3,2.53,2.76,2.39,4,2,3,2,2,3,4,2,2,4,2,2,2,2,3
246,2.84,2.68,2.21,2.74,2,2,4,2,3,2,2,2,4,2,3,3,3,2,3.01
247,2.84,2.5,3.16,2.89,2,3,3,2,3,3,3,4,3,3,3,2,4,3,3.01
248,3.22,2.89,2.86,2.51,3,2,3,2,2,2,4,4,3,2,2,2,2,2,3.01
249,2.89,2.84,2.6,2.79,2,1,2,2,3,2,2,3,2,3,3,3,2,2,3.01
250,2.67,3.26,2.61,2.55,1,2,3,3,3,3,4,3,2,3,2,2,2,3,3.02
251,3.28,2.68,3,2.87,4,2,3,2,2,3,3,3,3,3,2,2,3,3,3.02
